tf,relation,substrate
MSN2,regulates,RPS26a
RAP1,regulates,RPS26a
STE12,regulates,YGL188C
RAP1,regulates,YGL188C
ADR1,regulates,COX4
HAP4,regulates,COX4
GCN4,regulates,TPN1
BAS1,regulates,TPN1
UME6,regulates,STR3
MET32,regulates,STR3
GCN4,regulates,STR3
FLO8,regulates,STR3
MET28,regulates,STR3
CBF1,regulates,STR3
BAS1,regulates,STR3
LEU3,regulates,STR3
MET4,regulates,STR3
MET31,regulates,STR3
DAL82,regulates,MND1
RPN4,regulates,ATG1
GCN4,regulates,ATG1
MSN2,regulates,ATG1
TEC1,regulates,TOS3
SWI6,regulates,TOS3
TEC1,regulates,MPT5
STE12,regulates,MPT5
RAP1,regulates,YGL177W
RPN4,regulates,XRN1
PDR1,regulates,ROK1
SUM1,regulates,SPO74
SOK2,regulates,PMR1
MSN2,regulates,PMR1
SOK2,regulates,2.0
MSN2,regulates,2.0
TEC1,regulates,RAD54
STE12,regulates,RAD54
YOX1,regulates,RAD54
CIN5,regulates,RAD54
TEC1,regulates,SUT1
YOX1,regulates,SUT1
SOK2,regulates,SUT1
STE12,regulates,YGL159W
RAP1,regulates,YGL159W
TEC1,regulates,RCK1
CAD1,regulates,RCK1
STE12,regulates,RCK1
YOX1,regulates,RCK1
SOK2,regulates,RCK1
CIN5,regulates,RCK1
YOX1,regulates,ARI1
SOK2,regulates,ARI1
CIN5,regulates,ARI1
1.0,regulates,LYS5
GCN4,regulates,ARO2
PHO4,regulates,ARO2
MSN2,regulates,ARO2
IFH1,regulates,RPL9a
RAP1,regulates,RPL9a
YRM1,regulates,RPL9a
FHL1,regulates,RPL9a
TEC1,regulates,RRT6
STE12,regulates,RRT6
ABF1,regulates,RRT6
TEC1,regulates,TIP20
STE12,regulates,TIP20
ARG81,regulates,TIP20
ABF1,regulates,ROG1
SWI5,regulates,YGL140C
SUM1,regulates,YGL138C
SFP1,regulates,MRM2
YAP1,regulates,MRM2
GCR1,regulates,MRM2
HAP2,regulates,RPL1b
BAS1,regulates,RPL1b
SFP1,regulates,RPL1b
YAP1,regulates,RPL1b
RAP1,regulates,RPL1b
ACE2,regulates,PCL10
ACE2,regulates,ITC1
MSN2,regulates,SOH1
GCN4,regulates,SCS3
PHO4,regulates,SCS3
ASH1,regulates,SCS3
GCN4,regulates,MET13
SKN7,regulates,MET13
CBF1,regulates,MET13
SOK2,regulates,MET13
MSN2,regulates,MET13
SOK2,regulates,MON1
CIN5,regulates,MON1
TUP1,regulates,RPS2
IFH1,regulates,RPS2
RAP1,regulates,RPS2
RPN4,regulates,NAB2
GCN4,regulates,GPG1
PDR1,regulates,GPG1
ABF1,regulates,GPG1
AFT1,regulates,PRP43
STE12,regulates,YGL118C
GCN4,regulates,YGL117W
YAP5,regulates,YGL117W
IXR1,regulates,YGL117W
YAP1,regulates,YGL117W
PDR1,regulates,CDC20
STE12,regulates,CDC20
ABF1,regulates,CDC20
BAS1,regulates,CDC20
YOX1,regulates,CDC20
RAP1,regulates,SNF4
ABF1,regulates,YGL114W
YAP1,regulates,YGL114W
MSN2,regulates,YGL114W
YRM1,regulates,TAF6
ABF1,regulates,YGL109W
DAL82,regulates,YGL108C
ABF1,regulates,RMD9
ABF1,regulates,MLC1
STE12,regulates,VPS73
PUT3,regulates,VPS73
TUP1,regulates,RPL28
IFH1,regulates,RPL28
SFP1,regulates,RPL28
RAP1,regulates,RPL28
STE12,regulates,YGL102C
STE12,regulates,YGL101W
SFP1,regulates,YGL101W
PHO4,regulates,SEH1
YOX1,regulates,LSG1
STE12,regulates,USE1
TUP1,regulates,SRM1
OAF1,regulates,TOS8
TEC1,regulates,TOS8
FLO8,regulates,TOS8
STE12,regulates,TOS8
XBP1,regulates,TOS8
ASH1,regulates,TOS8
RFX1,regulates,TOS8
SFP1,regulates,TOS8
SOK2,regulates,TOS8
SKO1,regulates,TOS8
RAP1,regulates,TOS8
AFT1,regulates,MF_ALPHA_2
STE12,regulates,MF_ALPHA_2
AFT1,regulates,YGL088W
STE12,regulates,YGL088W
RAP1,regulates,GUP1
CIN5,regulates,YGL081W
PHO4,regulates,KXD1
MAC1,regulates,HNM1
9.0,regulates,HNM1
IFH1,regulates,RPL7a
SFP1,regulates,RPL7a
RAP1,regulates,RPL7a
STE12,regulates,YGL072C
STB5,regulates,YGL072C
PUT3,regulates,YGL072C
AFT2,regulates,AFT1
STE12,regulates,PUS2
TEC1,regulates,PYC1
MSN2,regulates,PYC1
SKO1,regulates,PYC1
GCR2,regulates,PYC1
RTG1,regulates,PYC1
GCN4,regulates,YBP2
GCN4,regulates,PKP2
STE12,regulates,PKP2
STB5,regulates,SDS23
MSN2,regulates,SDS23
RAP1,regulates,SDS23
STE12,regulates,OLE1
2.0,regulates,OLE1
SPT23,regulates,OLE1
MSN4,regulates,OLE1
HAP1,regulates,OLE1
MSN2,regulates,OLE1
MSS11,regulates,OLE1
RAP1,regulates,OLE1
AFT2,regulates,OLE1
MSN2,regulates,ERV14
STE12,regulates,PRM8
STE12,regulates,YGL052W
STE12,regulates,MST27
STE12,regulates,TYW3
YRM1,regulates,TIF4632
RPN4,regulates,RPT6
RPN4,regulates,ALG13
STE12,regulates,ALG13
SOK2,regulates,RIM8
MSN2,regulates,RIM8
CBF1,regulates,HEM2
STE12,regulates,YGL039W
MSN2,regulates,YGL039W
PHO4,regulates,OCH1
SKN7,regulates,OCH1
PDR1,regulates,PNC1
HSF1,regulates,PNC1
HSF1,regulates,YGL036W
STE12,regulates,YGL034C
HCM1,regulates,HOP2
STE12,regulates,HOP2
TEC1,regulates,AGA2
STE12,regulates,AGA2
MSN2,regulates,AGA2
PHD1,regulates,RPL24a
IFH1,regulates,RPL24a
SFP1,regulates,RPL24a
RAP1,regulates,RPL24a
TUP1,regulates,RPL30
IFH1,regulates,RPL30
SFP1,regulates,RPL30
RAP1,regulates,RPL30
FHL1,regulates,RPL30
SWI5,regulates,SCW11
FKH1,regulates,SCW11
ACE2,regulates,SCW11
SOK2,regulates,SCW11
MSN2,regulates,SCW11
STE12,regulates,CWH41
GCN4,regulates,TRP5
STE12,regulates,PGD1
GCN4,regulates,YGL024W
MCM1,regulates,1.0
RPN4,regulates,PDR1
SWI4,regulates,PDR1
RPN4,regulates,ERG4
ECM22,regulates,ERG4
GCR1,regulates,ERG4
RPN4,regulates,SCL1
RPN4,regulates,YGL010W
GCN4,regulates,LEU1
MSN2,regulates,LEU1
SKO1,regulates,LEU1
CIN5,regulates,LEU1
HSF1,regulates,PMA1
STE12,regulates,PMA1
ACE2,regulates,PMA1
MCM1,regulates,PMA1
RAP1,regulates,PMA1
INO4,regulates,COG7
MSN2,regulates,RPN14
1.0,regulates,SWC4
INO2,regulates,STF2
PDR1,regulates,STF2
YAP1,regulates,NMA2
YAP1,regulates,YGR011W
STE12,regulates,YGR012W
TEC1,regulates,MSB2
SWI4,regulates,MSB2
STE12,regulates,MSB2
MSN2,regulates,MSB2
MCM1,regulates,MSB2
UGA3,regulates,UGA1
GLN3,regulates,UGA1
DAL81,regulates,UGA1
DAL80,regulates,UGA1
FHL1,regulates,YGR021W
MSN2,regulates,1.0
1.0,regulates,THG1
STE12,regulates,THG1
MSS11,regulates,THG1
TEC1,regulates,RPS25a
GTS1,regulates,RPS25a
IFH1,regulates,RPS25a
SFP1,regulates,RPS25a
RAP1,regulates,RPS25a
CIN5,regulates,RPS25a
TEC1,regulates,MSP1
STE12,regulates,MSP1
MSN2,regulates,MSP1
CIN5,regulates,POP6
RAP1,regulates,IMO32
CIN5,regulates,IMO32
TEC1,regulates,GSC2
SWI4,regulates,GSC2
STE12,regulates,GSC2
CBF1,regulates,GSC2
MSN4,regulates,GSC2
MSN2,regulates,GSC2
RAP1,regulates,GSC2
TUP1,regulates,TIM21
RAP1,regulates,TIM21
SFP1,regulates,RPL26b
RAP1,regulates,RPL26b
PDR3,regulates,YGR035C
SWI4,regulates,YGR035C
PDR1,regulates,YGR035C
ABF1,regulates,YGR035C
ASH1,regulates,YGR035C
SOK2,regulates,YGR035C
MSN2,regulates,YGR035C
STE12,regulates,ACB1
ABF1,regulates,ACB1
MSN2,regulates,ACB1
ABF1,regulates,ORM1
TEC1,regulates,YGR039W
STE12,regulates,YGR039W
TEC1,regulates,KSS1
STE12,regulates,KSS1
ACE2,regulates,KSS1
YAP1,regulates,KSS1
MBP1,regulates,BUD9
SWI4,regulates,BUD9
STE12,regulates,BUD9
FKH1,regulates,BUD9
ACE2,regulates,BUD9
SOK2,regulates,BUD9
MCM1,regulates,BUD9
CAD1,regulates,NQM1
STE12,regulates,NQM1
SKN7,regulates,NQM1
YAP1,regulates,NQM1
MSN2,regulates,NQM1
HOT1,regulates,NQM1
SKO1,regulates,NQM1
RAP1,regulates,NQM1
CIN5,regulates,NQM1
STB5,regulates,RME1
MSN2,regulates,RME1
RAP1,regulates,RME1
STE12,regulates,YGR045C
STE12,regulates,TAM41
RPN4,regulates,UFD1
MCM1,regulates,UFD1
CBF1,regulates,SCM4
HAP1,regulates,SCM4
SOK2,regulates,SCM4
NRG1,regulates,YGR050C
GCN4,regulates,YGR050C
STE12,regulates,YGR050C
STE12,regulates,YGR051C
RAP1,regulates,YGR051C
TEC1,regulates,FMP48
YAP1,regulates,FMP48
YOX1,regulates,FMP48
SOK2,regulates,FMP48
MSN2,regulates,FMP48
HOT1,regulates,FMP48
SKO1,regulates,FMP48
RAP1,regulates,FMP48
RAP1,regulates,YGR054W
MET32,regulates,MUP1
STP1,regulates,MUP1
MET28,regulates,MUP1
ABF1,regulates,MUP1
MSN2,regulates,MUP1
MET4,regulates,MUP1
RAP1,regulates,MUP1
MET31,regulates,MUP1
SUM1,regulates,SPR3
ABF1,regulates,SPR3
TEC1,regulates,ERG25
SWI5,regulates,ERG25
STE12,regulates,ERG25
YAP1,regulates,ERG25
SOK2,regulates,ERG25
RAP1,regulates,ERG25
BAS1,regulates,ADE6
ADR1,regulates,YGR067C
GCN4,regulates,YGR067C
ABF1,regulates,YGR067C
MSN2,regulates,YGR067C
CAT8,regulates,YGR067C
YOX1,regulates,ROM1
MSN4,regulates,ENV11
MSN2,regulates,ENV11
AFT1,regulates,PAC10
CBF1,regulates,PAC10
MCM1,regulates,PAC10
CBF1,regulates,YGR079W
SOK2,regulates,YGR079W
MCM1,regulates,YGR079W
RAP1,regulates,MRP13
GCR1,regulates,MRP13
TUP1,regulates,RPL11b
IFH1,regulates,RPL11b
SFP1,regulates,RPL11b
RAP1,regulates,RPL11b
PIP2,regulates,RPL11b
SWI5,regulates,PIL1
STE12,regulates,PIL1
SKN7,regulates,PIL1
ASH1,regulates,PIL1
MSN2,regulates,PIL1
RAP1,regulates,PIL1
MET32,regulates,PDC6
STE12,regulates,PDC6
MET28,regulates,PDC6
MET31,regulates,PDC6
STE12,regulates,CTT1
SKN7,regulates,CTT1
MSN4,regulates,CTT1
HAP1,regulates,CTT1
SOK2,regulates,CTT1
MSN2,regulates,CTT1
HOT1,regulates,CTT1
STE12,regulates,NNF2
GCR2,regulates,NNF2
STE12,regulates,UTP22
MSN2,regulates,UTP22
YRM1,regulates,UTP22
STE12,regulates,PRP31
RAP1,regulates,PRP31
YOX1,regulates,DBF2
GCN4,regulates,VAS1
RAP1,regulates,ASK10
STE12,regulates,1.0
INO4,regulates,1.0
STE12,regulates,MDR1
YHP1,regulates,NOP7
STE12,regulates,YGR107W
YHP1,regulates,CLB1
SWI4,regulates,CLB1
STE12,regulates,CLB1
YAP1,regulates,CLB1
MSN2,regulates,CLB1
MCM1,regulates,CLB1
RAP1,regulates,CLB1
MBP1,regulates,CLB6
SWI4,regulates,CLB6
STE12,regulates,CLB6
YOX1,regulates,CLB6
STB1,regulates,CLB6
SWI4,regulates,CLD1
STE12,regulates,CLD1
CBF1,regulates,CLD1
SOK2,regulates,SHY1
SFP1,regulates,YGR117C
RAP1,regulates,YGR117C
IFH1,regulates,RPS23a
SFP1,regulates,RPS23a
RAP1,regulates,RPS23a
CIN5,regulates,RPS23a
ABF1,regulates,NUP57
STE12,regulates,COG2
TEC1,regulates,MEP1
ABF1,regulates,MEP1
MSN2,regulates,MEP1
CIN5,regulates,MEP1
TEC1,regulates,YGR122W
STE12,regulates,YGR122W
MSN2,regulates,YGR122W
STE12,regulates,YGR122C_A
ADR1,regulates,PPT1
YOX1,regulates,PPT1
GCN4,regulates,ASN2
ACE2,regulates,ASN2
SOK2,regulates,YGR125W
MCM1,regulates,YGR126W
CBF1,regulates,YGR127W
SOK2,regulates,YGR130C
STE12,regulates,FHN1
SOK2,regulates,PHB1
RPN4,regulates,PRE9
SOK2,regulates,PRE9
SWI4,regulates,TPO2
SOK2,regulates,TPO2
MSN2,regulates,TPO2
FHL1,regulates,TPO2
TUP1,regulates,YGR139W
SWI4,regulates,YGR139W
STE12,regulates,YGR139W
STE12,regulates,CBF2
CIN5,regulates,CBF2
HSF1,regulates,VPS62
RTG3,regulates,2.0
RPN4,regulates,2.0
HSF1,regulates,2.0
SPT23,regulates,2.0
MSN4,regulates,2.0
YAP1,regulates,2.0
MSN2,regulates,2.0
MCM1,regulates,SKN1
RAP1,regulates,SKN1
THI2,regulates,THI4
PDC2,regulates,THI4
MSN2,regulates,THI4
SKO1,regulates,THI4
HSF1,regulates,ECL1
STE12,regulates,ECL1
LEU3,regulates,ECL1
SOK2,regulates,ECL1
MSN2,regulates,ECL1
ROX1,regulates,ECL1
IFH1,regulates,RPL24b
SFP1,regulates,RPL24b
SOK2,regulates,RPL24b
RAP1,regulates,RPL24b
SOK2,regulates,YGR149W
MSN2,regulates,YGR149W
SKO1,regulates,YGR149W
FHL1,regulates,CCM1
STE12,regulates,YGR151C
TEC1,regulates,RSR1
STE12,regulates,RSR1
TEC1,regulates,YGR153W
STE12,regulates,YGR153W
YAP1,regulates,GTO1
MSN2,regulates,GTO1
MET32,regulates,CYS4
CBF1,regulates,CYS4
YAP1,regulates,CYS4
MSN2,regulates,CYS4
RAP1,regulates,PTI1
HSF1,regulates,CHO2
ABF1,regulates,CHO2
MSN2,regulates,CHO2
RAP1,regulates,CHO2
PDR1,regulates,NSR1
FKH2,regulates,NSR1
RAP1,regulates,NSR1
OAF1,regulates,RTS3
ADR1,regulates,RTS3
GCN4,regulates,RTS3
GAT1,regulates,RTS3
PDR1,regulates,RTS3
CBF1,regulates,RTS3
YAP1,regulates,RTS3
SOK2,regulates,RTS3
RAP1,regulates,RTS3
CIN5,regulates,RTS3
STE12,regulates,TIF4631
SOK2,regulates,TIF4631
STE12,regulates,YGR164W
STE12,regulates,MRPS35
MSN2,regulates,MRPS35
YAP5,regulates,YGR168C
STE12,regulates,PSD2
BAS1,regulates,PSD2
REB1,regulates,YIP1
GAL4,regulates,YIP1
GLN3,regulates,RBG2
GCR2,regulates,RBG2
2.0,regulates,ERG1
RAP1,regulates,ERG1
PUT3,regulates,YGR176W
RAP1,regulates,YGR176W
SOK2,regulates,ATF2
FHL1,regulates,ATF2
TUP1,regulates,RNR4
MBP1,regulates,RNR4
STE12,regulates,RNR4
RFX1,regulates,RNR4
YOX1,regulates,RNR4
SKO1,regulates,RNR4
RAP1,regulates,RNR4
RAP1,regulates,TIM13
DAL82,regulates,YGR182C
CIN5,regulates,YGR182C
HAP3,regulates,QCR9
TEC1,regulates,QCR9
HAP2,regulates,QCR9
HAP4,regulates,QCR9
BAS1,regulates,QCR9
GCN4,regulates,TYS1
ABF1,regulates,TYS1
AFT1,regulates,HGH1
TEC1,regulates,CRH1
SWI5,regulates,CRH1
ASH1,regulates,CRH1
SOK2,regulates,CRH1
MSN2,regulates,CRH1
MCM1,regulates,CRH1
RLM1,regulates,CRH1
STE12,regulates,HIP1
SFP1,regulates,HIP1
GCN4,regulates,TDH3
HSF1,regulates,TDH3
SKN7,regulates,TDH3
ABF1,regulates,TDH3
GCR2,regulates,TDH3
RAP1,regulates,TDH3
CIN5,regulates,TDH3
TYE7,regulates,TDH3
GCR1,regulates,TDH3
HSF1,regulates,SKI6
ABF1,regulates,SKI6
HSF1,regulates,SNG1
STE12,regulates,SNG1
MSN2,regulates,SNG1
HSF1,regulates,YPP1
STE12,regulates,YPP1
YAP1,regulates,YPP1
STP2,regulates,PMT6
STE12,regulates,PMT6
CBF1,regulates,ELP2
MSN2,regulates,PCT1
STE12,regulates,YCH1
ABF1,regulates,YCH1
BAS1,regulates,YCH1
MSN2,regulates,YCH1
RAP1,regulates,YCH1
PHO2,regulates,ADE3
MET32,regulates,ADE3
GCN4,regulates,ADE3
MET28,regulates,ADE3
CBF1,regulates,ADE3
BAS1,regulates,ADE3
MET4,regulates,ADE3
RAP1,regulates,ADE3
HAP5,regulates,ADE3
MET31,regulates,ADE3
SKN7,regulates,TRX2
MSN4,regulates,TRX2
YAP1,regulates,TRX2
MSN2,regulates,TRX2
YAP7,regulates,TRX2
CIN5,regulates,TRX2
HSF1,regulates,YGR210C
SKN7,regulates,YGR210C
HSF1,regulates,ZPR1
YAP1,regulates,ZPR1
MSN2,regulates,ZPR1
TUP1,regulates,RTA1
MSN2,regulates,RTA1
RAP1,regulates,RTA1
IFH1,regulates,RPS0a
SOK2,regulates,RPS0a
RAP1,regulates,RPS0a
GCR1,regulates,RPS0a
FHL1,regulates,RPS0a
STE12,regulates,CCH1
RAP1,regulates,CCH1
TEC1,regulates,CRM1
STE12,regulates,CRM1
TEC1,regulates,TOS2
STE12,regulates,TOS2
MSN2,regulates,TOS2
TEC1,regulates,PET54
STE12,regulates,PET54
RPN4,regulates,HSV2
YAP1,regulates,HSV2
YAP1,regulates,AZR1
TEC1,regulates,BNS1
STE12,regulates,BNS1
CIN5,regulates,BNS1
ABF1,regulates,PHB2
TEC1,regulates,PHO81
PHO2,regulates,PHO81
CAD1,regulates,PHO81
PHO4,regulates,PHO81
STE12,regulates,PHO81
PHD1,regulates,PHO81
TEC1,regulates,YHB1
GLN3,regulates,YHB1
SWI4,regulates,YHB1
HAP2,regulates,YHB1
YAP5,regulates,YHB1
CBF1,regulates,YHB1
ACE2,regulates,YHB1
HAP1,regulates,YHB1
YAP1,regulates,YHB1
MSN2,regulates,YHB1
RAP1,regulates,YHB1
YAP7,regulates,YHB1
HAL9,regulates,YHB1
HAP5,regulates,YHB1
DIG1,regulates,YHB1
ADR1,regulates,SPG1
ABF1,regulates,KEL2
YAP1,regulates,KEL2
STE12,regulates,PEX21
GCR2,regulates,PFK1
RAP1,regulates,PFK1
STE12,regulates,YAP1802
REB1,regulates,FMP43
ADR1,regulates,FMP43
AFT1,regulates,FMP43
STE12,regulates,FMP43
MSN2,regulates,FMP43
SKO1,regulates,FMP43
CIN5,regulates,FMP43
ADR1,regulates,SDA1
PDR1,regulates,SDA1
TUP1,regulates,SOL4
FLO8,regulates,SOL4
SWI4,regulates,SOL4
HSF1,regulates,SOL4
STE12,regulates,SOL4
IXR1,regulates,SOL4
YAP1,regulates,SOL4
SOK2,regulates,SOL4
MSN2,regulates,SOL4
RAP1,regulates,SOL4
TEC1,regulates,1.0
CAD1,regulates,1.0
STE12,regulates,1.0
ABF1,regulates,1.0
SOK2,regulates,1.0
MSN2,regulates,1.0
SKO1,regulates,1.0
SWI4,regulates,YGR250C
HSF1,regulates,YGR250C
SFP1,regulates,YGR250C
1.0,regulates,NOP19
RPN4,regulates,PUP2
PHO4,regulates,PUP2
MSN4,regulates,PUP2
SWI5,regulates,ENO1
PHO4,regulates,ENO1
PDR1,regulates,ENO1
CBF1,regulates,ENO1
SOK2,regulates,ENO1
MSN2,regulates,ENO1
MET4,regulates,ENO1
RAP1,regulates,ENO1
INO4,regulates,ENO1
CIN5,regulates,ENO1
TYE7,regulates,ENO1
GCR1,regulates,ENO1
MSN2,regulates,COQ6
CAD1,regulates,GND2
MSN2,regulates,GND2
CIN5,regulates,GND2
ABF1,regulates,MTM1
SUM1,regulates,RAD2
RAP1,regulates,YGR259C
SUM1,regulates,TNA1
RAP1,regulates,TNA1
UME6,regulates,MES1
STE12,regulates,YGR265W
HAP1,regulates,YGR266W
GCN4,regulates,FOL2
ABF1,regulates,HUA1
STE12,regulates,YGR269W
ABF1,regulates,YTA7
XBP1,regulates,SLH1
PHO4,regulates,YGR273C
STB1,regulates,CAB4
STB5,regulates,SCW4
SKN7,regulates,SCW4
IXR1,regulates,SCW4
PHD1,regulates,SCW4
SOK2,regulates,SCW4
RAP1,regulates,SCW4
CIN5,regulates,SCW4
PDR3,regulates,PXR1
REB1,regulates,PXR1
PDR1,regulates,PXR1
STE12,regulates,PXR1
MSN2,regulates,PXR1
MET4,regulates,PXR1
RAP1,regulates,PXR1
PDR3,regulates,YOR1
PDR1,regulates,YOR1
STE12,regulates,YOR1
MSN2,regulates,YOR1
ABF1,regulates,2.0
CIN5,regulates,2.0
YHP1,regulates,YGR283C
MSN4,regulates,YGR283C
RAP1,regulates,ERV29
SOK2,regulates,BIO2
STE12,regulates,MAL13
CIN5,regulates,MAL11
SWI4,regulates,MAL12
TEC1,regulates,PAU12
FLO8,regulates,COS6
SWI4,regulates,COS6
PDR1,regulates,COS6
ZAP1,regulates,COS6
MSN4,regulates,COS6
ABF1,regulates,COS6
RAP1,regulates,COS6
MBP1,regulates,YRF1_3
SWI5,regulates,YRF1_3
GAT3,regulates,YRF1_3
YOX1,regulates,YRF1_3
MAL33,regulates,YHL050C
SWI4,regulates,YHL049C
YOX1,regulates,YHL049C
SOK2,regulates,YHL049C
SWI4,regulates,COS8
STE12,regulates,COS8
RGM1,regulates,COS8
RAP1,regulates,COS8
AFT1,regulates,ARN2
MSN4,regulates,ARN2
RAP1,regulates,PAU13
YRM1,regulates,PAU13
CIN5,regulates,YHL045W
TEC1,regulates,YHL044W
YAP1,regulates,YHL044W
YHP1,regulates,ARN1
FLO8,regulates,ARN1
AFT1,regulates,ARN1
MSN4,regulates,ARN1
BAS1,regulates,ARN1
MSN4,regulates,CBP2
MET32,regulates,MUP3
ARO80,regulates,MUP3
YOX1,regulates,MUP3
MET4,regulates,MUP3
RAP1,regulates,MUP3
DAL82,regulates,MUP3
CIN5,regulates,MUP3
MET31,regulates,MUP3
CIN5,regulates,SBP1
GCR1,regulates,SBP1
TUP1,regulates,RPL8a
STE12,regulates,RPL8a
IFH1,regulates,RPL8a
RAP1,regulates,RPL8a
ADR1,regulates,GUT1
RAP1,regulates,GUT1
REB1,regulates,GOS1
TUP1,regulates,OCA5
ABF1,regulates,OCA5
ACE2,regulates,OCA5
RAP1,regulates,OCA5
1.0,regulates,WSC4
STE12,regulates,WSC4
XBP1,regulates,WSC4
ACE2,regulates,WSC4
YAP1,regulates,WSC4
SOK2,regulates,WSC4
MSN2,regulates,WSC4
GCN4,regulates,RIM101
SOK2,regulates,YHL026C
STE12,regulates,SNF6
MCM1,regulates,SNF6
MSN2,regulates,RIM4
FHL1,regulates,RIM4
OAF1,regulates,AIM17
CAD1,regulates,AIM17
PDR1,regulates,AIM17
MSN2,regulates,AIM17
INO2,regulates,OPI1
INO4,regulates,OPI1
TEC1,regulates,DUR3
TUP1,regulates,DUR3
GLN3,regulates,DUR3
PDR1,regulates,DUR3
STE12,regulates,DUR3
LEU3,regulates,DUR3
SOK2,regulates,DUR3
RAP1,regulates,DUR3
IFH1,regulates,RPS20
SFP1,regulates,RPS20
RAP1,regulates,RPS20
ABF1,regulates,YLF2
PDR1,regulates,YHL012W
ACE2,regulates,YHL012W
YOX1,regulates,YHL012W
STE12,regulates,YAP3
MCM1,regulates,YAP3
STE12,regulates,YHL008C
MCM1,regulates,YHL008C
SOK2,regulates,STE20
STE12,regulates,SHU1
TUP1,regulates,RPL14b
STE12,regulates,RPL14b
IXR1,regulates,RPL14b
IFH1,regulates,RPL14b
SFP1,regulates,RPL14b
RAP1,regulates,RPL14b
MSN2,regulates,OSH7
HAP2,regulates,QCR10
YAP5,regulates,QCR10
CBF1,regulates,QCR10
HAP4,regulates,QCR10
SKN7,regulates,NEM1
RAP1,regulates,NEM1
TEC1,regulates,GPA1
STE12,regulates,GPA1
SOK2,regulates,GPA1
DIG1,regulates,GPA1
RGT1,regulates,TIM10
CIN5,regulates,TIM10
TYE7,regulates,TIM10
STE12,regulates,ERG11
HAP1,regulates,ERG11
YAP1,regulates,ERG11
SOK2,regulates,ERG11
RAP1,regulates,ERG11
PIP2,regulates,ERG11
SKN7,regulates,SOD2
MSN4,regulates,SOD2
YAP1,regulates,SOD2
MSN2,regulates,SOD2
TUP1,regulates,RPL27a
SKN7,regulates,RPL27a
ABF1,regulates,RPL27a
IFH1,regulates,RPL27a
SFP1,regulates,RPL27a
RAP1,regulates,RPL27a
CIN5,regulates,RPL27a
SOK2,regulates,ARD1
UME6,regulates,SPO13
STE12,regulates,SPO13
RTG3,regulates,ARG4
INO2,regulates,ARG4
GCN4,regulates,ARG4
GLN3,regulates,ARG4
YAP5,regulates,ARG4
YAP1,regulates,ARG4
GCN4,regulates,DED81
GCN4,regulates,YHR020W
YRM1,regulates,YHR020W
IFH1,regulates,RPS27b
SFP1,regulates,RPS27b
RAP1,regulates,RPS27b
MSN4,regulates,YHR022C
SOK2,regulates,YHR022C
STE12,regulates,MYO1
GCN4,regulates,MAS2
YRM1,regulates,MAS2
REB1,regulates,THR1
GCN4,regulates,THR1
REB1,regulates,VMA16
RPN4,regulates,DAP2
GCN4,regulates,YHI9
GLN3,regulates,YHI9
STE12,regulates,YHI9
YAP1,regulates,YHI9
RLM1,regulates,SLT2
TUP1,regulates,ERC1
PHO4,regulates,ERC1
RAP1,regulates,ERC1
TEC1,regulates,YHR033W
NRG1,regulates,YHR033W
MSN4,regulates,YHR033W
SOK2,regulates,YHR033W
MSN2,regulates,YHR033W
MET4,regulates,YHR033W
SKO1,regulates,YHR033W
FHL1,regulates,YHR033W
MSN4,regulates,PIH1
STE12,regulates,YHR035W
MSN4,regulates,YHR035W
PUT3,regulates,PUT2
TYE7,regulates,NCP1
ABF1,regulates,DOG1
STE12,regulates,YHK8
MSN4,regulates,YHK8
YAP1,regulates,YHK8
MSN2,regulates,YHK8
ROX1,regulates,YHK8
HSF1,regulates,FSH1
SOK2,regulates,FSH1
SKO1,regulates,FSH1
HAP4,regulates,SMF2
ABF1,regulates,SMF2
HAP3,regulates,COX6
RTG3,regulates,COX6
HAP2,regulates,COX6
HAP4,regulates,COX6
ABF1,regulates,COX6
HAP5,regulates,COX6
PHO4,regulates,CIC1
HSF1,regulates,CUP1_1
PHO4,regulates,CUP1_2
HSF1,regulates,CUP1_2
YAP1,regulates,CUP1_2
SOK2,regulates,CUP1_2
STE12,regulates,FYV4
STE12,regulates,GIC1
ABF1,regulates,SSZ1
RAP1,regulates,TRM5
GCN4,regulates,PCL5
STE12,regulates,PCL5
SOK2,regulates,PCL5
MSN2,regulates,PCL5
MET4,regulates,PCL5
RAP1,regulates,PCL5
DAL82,regulates,PCL5
UME6,regulates,SAE3
STE12,regulates,SAE3
MSN2,regulates,YHR080C
MSN2,regulates,LRP1
RDS2,regulates,LRP1
MSN2,regulates,SAM35
TEC1,regulates,STE12
MCM1,regulates,STE12
PDR1,regulates,NAM8
STE12,regulates,NAM8
PDR1,regulates,RTC3
XBP1,regulates,RTC3
FKH1,regulates,RTC3
MSN4,regulates,RTC3
YAP1,regulates,RTC3
MSN2,regulates,RTC3
HOT1,regulates,RTC3
CAD1,regulates,RPF1
CBF1,regulates,GAR1
MSN4,regulates,MSR1
ACE2,regulates,MSR1
RGM1,regulates,MSR1
RAP1,regulates,MSR1
ROX1,regulates,MSR1
TEC1,regulates,HXT4
RGT1,regulates,HXT4
SOK2,regulates,HXT4
MSN2,regulates,HXT4
GCR1,regulates,HXT4
RGT1,regulates,HXT1
RFX1,regulates,HXT1
MSN2,regulates,HXT1
SKO1,regulates,HXT1
TUP1,regulates,YHR095W
SOK2,regulates,YHR095W
TEC1,regulates,HXT5
